Player No.,Name,Runs
1,Travis Head,2
1,Travis Head,26
1,Travis Head,45
1,Travis Head,31
1,Travis Head,4
1,Travis Head,30
1,Travis Head,9
1,Travis Head,6
1,Travis Head,15
1,Travis Head,7
1,Travis Head,48
1,Travis Head,19
1,Travis Head,26
1,Travis Head,6
1,Travis Head,18
1,Travis Head,91
1,Travis Head,35
1,Travis Head,31
1,Travis Head,28
1,Travis Head,24
1,Travis Head,45
1,Travis Head,33
1,Travis Head,12
1,Travis Head,34
1,Travis Head,68
1,Travis Head,31
1,Travis Head,0
1,Travis Head,76
2,Suryakumar Yadav,57
2,Suryakumar Yadav,32
2,Suryakumar Yadav,50
2,Suryakumar Yadav,11
2,Suryakumar Yadav,62
2,Suryakumar Yadav,1
2,Suryakumar Yadav,0
2,Suryakumar Yadav,8
2,Suryakumar Yadav,65
2,Suryakumar Yadav,0
2,Suryakumar Yadav,15
2,Suryakumar Yadav,39
2,Suryakumar Yadav,15
2,Suryakumar Yadav,117
2,Suryakumar Yadav,24
2,Suryakumar Yadav,11
2,Suryakumar Yadav,76
2,Suryakumar Yadav,24
2,Suryakumar Yadav,18
2,Suryakumar Yadav,13
2,Suryakumar Yadav,34
2,Suryakumar Yadav,6
2,Suryakumar Yadav,46
2,Suryakumar Yadav,0
2,Suryakumar Yadav,69
2,Suryakumar Yadav,61
2,Suryakumar Yadav,8
2,Suryakumar Yadav,15
2,Suryakumar Yadav,68
2,Suryakumar Yadav,30
2,Suryakumar Yadav,14
2,Suryakumar Yadav,13
2,Suryakumar Yadav,7
2,Suryakumar Yadav,51
2,Suryakumar Yadav,47
2,Suryakumar Yadav,24
2,Suryakumar Yadav,21
2,Suryakumar Yadav,1
2,Suryakumar Yadav,83
2,Suryakumar Yadav,61
2,Suryakumar Yadav,80
2,Suryakumar Yadav,19
2,Suryakumar Yadav,39
2,Suryakumar Yadav,1
2,Suryakumar Yadav,5
2,Suryakumar Yadav,56
2,Suryakumar Yadav,100
2,Suryakumar Yadav,2
2,Suryakumar Yadav,7
2,Suryakumar Yadav,53
2,Suryakumar Yadav,6
2,Suryakumar Yadav,31
2,Suryakumar Yadav,47
2,Suryakumar Yadav,3
3,Phil Salt,57
3,Phil Salt,0
3,Phil Salt,3
3,Phil Salt,8
3,Phil Salt,10
3,Phil Salt,30
3,Phil Salt,8
3,Phil Salt,8
3,Phil Salt,3
3,Phil Salt,20
3,Phil Salt,10
3,Phil Salt,38
3,Phil Salt,25
3,Phil Salt,0
3,Phil Salt,40
3,Phil Salt,25
3,Phil Salt,119
3,Phil Salt,38
3,Phil Salt,13
3,Phil Salt,45
3,Phil Salt,37
3,Phil Salt,12
3,Phil Salt,11
3,Phil Salt,11
3,Phil Salt,5
4,Babar Azam,19
4,Babar Azam,29
4,Babar Azam,27
4,Babar Azam,43
4,Babar Azam,38
4,Babar Azam,86
4,Babar Azam,45
4,Babar Azam,48
4,Babar Azam,1
4,Babar Azam,1
4,Babar Azam,41
4,Babar Azam,18
4,Babar Azam,17
4,Babar Azam,51
4,Babar Azam,45
4,Babar Azam,50
4,Babar Azam,7
4,Babar Azam,40
4,Babar Azam,79
4,Babar Azam,38
4,Babar Azam,90
4,Babar Azam,23
4,Babar Azam,65
4,Babar Azam,13
4,Babar Azam,3
4,Babar Azam,27
4,Babar Azam,50
4,Babar Azam,6
4,Babar Azam,0
4,Babar Azam,56
4,Babar Azam,21
4,Babar Azam,82
4,Babar Azam,51
4,Babar Azam,0
4,Babar Azam,5
4,Babar Azam,44
4,Babar Azam,14
4,Babar Azam,50
4,Babar Azam,122
4,Babar Azam,24
4,Babar Azam,2
4,Babar Azam,41
4,Babar Azam,52
4,Babar Azam,85
4,Babar Azam,22
4,Babar Azam,11
4,Babar Azam,51
4,Babar Azam,9
4,Babar Azam,51
4,Babar Azam,70
4,Babar Azam,66
4,Babar Azam,39
4,Babar Azam,7
4,Babar Azam,1
4,Babar Azam,19
4,Babar Azam,0
4,Babar Azam,7
4,Babar Azam,79
4,Babar Azam,66
4,Babar Azam,10
4,Babar Azam,9
4,Babar Azam,14
4,Babar Azam,0
4,Babar Azam,30
4,Babar Azam,5
4,Babar Azam,31
4,Babar Azam,8
4,Babar Azam,36
4,Babar Azam,9
4,Babar Azam,4
4,Babar Azam,22
4,Babar Azam,21
4,Babar Azam,55
4,Babar Azam,15
4,Babar Azam,0
4,Babar Azam,4
4,Babar Azam,4
4,Babar Azam,6
4,Babar Azam,25
4,Babar Azam,53
4,Babar Azam,32
4,Babar Azam,9
4,Babar Azam,1
4,Babar Azam,19
4,Babar Azam,57
4,Babar Azam,66
4,Babar Azam,58
4,Babar Azam,19
4,Babar Azam,13
4,Babar Azam,14
4,Babar Azam,37
4,Babar Azam,5
4,Babar Azam,69
4,Babar Azam,57
4,Babar Azam,0
4,Babar Azam,75
4,Babar Azam,32
4,Babar Azam,36
4,Babar Azam,44
4,Babar Azam,13
4,Babar Azam,33
5,Mohammad Rizwan,6
5,Mohammad Rizwan,17
5,Mohammad Rizwan,16
5,Mohammad Rizwan,6
5,Mohammad Rizwan,24
5,Mohammad Rizwan,4
5,Mohammad Rizwan,2
5,Mohammad Rizwan,26
5,Mohammad Rizwan,31
5,Mohammad Rizwan,14
5,Mohammad Rizwan,0
5,Mohammad Rizwan,17
5,Mohammad Rizwan,22
5,Mohammad Rizwan,89
5,Mohammad Rizwan,51
5,Mohammad Rizwan,42
5,Mohammad Rizwan,0
5,Mohammad Rizwan,0
5,Mohammad Rizwan,13
5,Mohammad Rizwan,63
5,Mohammad Rizwan,37
5,Mohammad Rizwan,46
5,Mohammad Rizwan,33
5,Mohammad Rizwan,8
5,Mohammad Rizwan,15
5,Mohammad Rizwan,67
5,Mohammad Rizwan,11
5,Mohammad Rizwan,39
5,Mohammad Rizwan,40
5,Mohammad Rizwan,78
5,Mohammad Rizwan,38
5,Mohammad Rizwan,87
5,Mohammad Rizwan,23
5,Mohammad Rizwan,43
5,Mohammad Rizwan,20
5,Mohammad Rizwan,14
5,Mohammad Rizwan,55
5,Mohammad Rizwan,68
5,Mohammad Rizwan,8
5,Mohammad Rizwan,88
5,Mohammad Rizwan,63
5,Mohammad Rizwan,1
5,Mohammad Rizwan,4
5,Mohammad Rizwan,16
5,Mohammad Rizwan,69
5,Mohammad Rizwan,34
5,Mohammad Rizwan,4
5,Mohammad Rizwan,14
5,Mohammad Rizwan,49
5,Mohammad Rizwan,4
5,Mohammad Rizwan,32
5,Mohammad Rizwan,57
5,Mohammad Rizwan,15
5,Mohammad Rizwan,8
5,Mohammad Rizwan,50
5,Mohammad Rizwan,6
5,Mohammad Rizwan,25
5,Mohammad Rizwan,7
5,Mohammad Rizwan,24
5,Mohammad Rizwan,38
5,Mohammad Rizwan,1
5,Mohammad Rizwan,56
5,Mohammad Rizwan,0
5,Mohammad Rizwan,23
5,Mohammad Rizwan,9
5,Mohammad Rizwan,31
5,Mohammad Rizwan,17
6,Yashasvi Jaiswal,1
6,Yashasvi Jaiswal,5
6,Yashasvi Jaiswal,24
6,Yashasvi Jaiswal,18
6,Yashasvi Jaiswal,100
6,Yashasvi Jaiswal,0
6,Yashasvi Jaiswal,21
6,Yashasvi Jaiswal,53
6,Yashasvi Jaiswal,6
6,Yashasvi Jaiswal,37
6,Yashasvi Jaiswal,21
6,Yashasvi Jaiswal,0
6,Yashasvi Jaiswal,60
6,Yashasvi Jaiswal,68
6,Yashasvi Jaiswal,4
6,Yashasvi Jaiswal,36
6,Yashasvi Jaiswal,12
7,Jos Butler,13
7,Jos Butler,3
7,Jos Butler,7
7,Jos Butler,7
7,Jos Butler,6
7,Jos Butler,15
7,Jos Butler,11
7,Jos Butler,8
7,Jos Butler,54
7,Jos Butler,17
7,Jos Butler,27
7,Jos Butler,0
7,Jos Butler,20
7,Jos Butler,22
7,Jos Butler,8
7,Jos Butler,0
7,Jos Butler,67
7,Jos Butler,3
7,Jos Butler,32
7,Jos Butler,2
7,Jos Butler,34
7,Jos Butler,6
7,Jos Butler,26
7,Jos Butler,10
7,Jos Butler,11
7,Jos Butler,33
7,Jos Butler,2
7,Jos Butler,54
7,Jos Butler,30
7,Jos Butler,21
7,Jos Butler,6
7,Jos Butler,36
7,Jos Butler,16
7,Jos Butler,15
7,Jos Butler,0
7,Jos Butler,10
7,Jos Butler,31
7,Jos Butler,30
7,Jos Butler,5
7,Jos Butler,46
7,Jos Butler,2
7,Jos Butler,2
7,Jos Butler,61
7,Jos Butler,69
7,Jos Butler,14
7,Jos Butler,34
7,Jos Butler,13
7,Jos Butler,15
7,Jos Butler,2
7,Jos Butler,57
7,Jos Butler,44
7,Jos Butler,7
7,Jos Butler,22
7,Jos Butler,28
7,Jos Butler,0
7,Jos Butler,9
7,Jos Butler,52
7,Jos Butler,59
7,Jos Butler,21
7,Jos Butler,18
7,Jos Butler,26
7,Jos Butler,29
7,Jos Butler,0
7,Jos Butler,4
7,Jos Butler,18
7,Jos Butler,22
7,Jos Butler,29
7,Jos Butler,14
7,Jos Butler,68
7,Jos Butler,17
7,Jos Butler,18
7,Jos Butler,0
7,Jos Butler,73
7,Jos Butler,28
7,Jos Butler,28
7,Jos Butler,67
7,Jos Butler,4
7,Jos Butler,40
7,Jos Butler,40
7,Jos Butler,39
7,Jos Butler,5
7,Jos Butler,51
7,Jos Butler,55
7,Jos Butler,11
7,Jos Butler,84
7,Jos Butler,39
7,Jos Butler,42
7,Jos Butler,0
7,Jos Butler,25
7,Jos Butler,17
7,Jos Butler,23
8,Ruturaj Gaikwad,21
8,Ruturaj Gaikwad,14
8,Ruturaj Gaikwad,4
8,Ruturaj Gaikwad,23
8,Ruturaj Gaikwad,1
8,Ruturaj Gaikwad,57
8,Ruturaj Gaikwad,5
8,Ruturaj Gaikwad,10
8,Ruturaj Gaikwad,58
8,Ruturaj Gaikwad,25
8,Ruturaj Gaikwad,0
8,Ruturaj Gaikwad,58
8,Ruturaj Gaikwad,32
8,Ruturaj Gaikwad,10
8,Ruturaj Gaikwad,7
8,Ruturaj Gaikwad,49
9,Brandon King,4
9,Brandon King,12
9,Brandon King,1
9,Brandon King,31
9,Brandon King,5
9,Brandon King,33
9,Brandon King,43
9,Brandon King,13
9,Brandon King,0
9,Brandon King,11
9,Brandon King,1
9,Brandon King,67
9,Brandon King,43
9,Brandon King,0
9,Brandon King,10
9,Brandon King,26
9,Brandon King,34
9,Brandon King,4
9,Brandon King,22
9,Brandon King,57
9,Brandon King,7
9,Brandon King,68
9,Brandon King,20
9,Brandon King,13
9,Brandon King,53
9,Brandon King,12
9,Brandon King,23
9,Brandon King,17
9,Brandon King,23
9,Brandon King,1
9,Brandon King,36
9,Brandon King,28
9,Brandon King,0
9,Brandon King,42
9,Brandon King,18
9,Brandon King,22
9,Brandon King,8
9,Brandon King,0
9,Brandon King,3
9,Brandon King,53
9,Brandon King,5
9,Brandon King,79
9,Brandon King,36
9,Brandon King,44
9,Brandon King,34
9,Brandon King,13
9,Brandon King,9
9,Brandon King,7
10,Johnson Charles,36
10,Johnson Charles,21
10,Johnson Charles,24
10,Johnson Charles,37
10,Johnson Charles,24
10,Johnson Charles,36
10,Johnson Charles,16
10,Johnson Charles,84
10,Johnson Charles,12
10,Johnson Charles,8
10,Johnson Charles,10
10,Johnson Charles,0
10,Johnson Charles,57
10,Johnson Charles,26
10,Johnson Charles,10
10,Johnson Charles,1
10,Johnson Charles,0
10,Johnson Charles,16
10,Johnson Charles,7
10,Johnson Charles,4
10,Johnson Charles,0
10,Johnson Charles,34
10,Johnson Charles,0
10,Johnson Charles,10
10,Johnson Charles,32
10,Johnson Charles,22
10,Johnson Charles,52
10,Johnson Charles,1
10,Johnson Charles,79
10,Johnson Charles,43
10,Johnson Charles,7
10,Johnson Charles,10
10,Johnson Charles,5
10,Johnson Charles,3
10,Johnson Charles,59
10,Johnson Charles,45
10,Johnson Charles,24
10,Johnson Charles,28
10,Johnson Charles,118
10,Johnson Charles,0
10,Johnson Charles,3
10,Johnson Charles,2
10,Johnson Charles,12
10,Johnson Charles,27
10,Johnson Charles,42
10,Johnson Charles,24
10,Johnson Charles,4
10,Johnson Charles,1
10,Johnson Charles,7
10,Johnson Charles,69
10,Johnson Charles,0
10,Johnson Charles,44
10,Johnson Charles,0
10,Johnson Charles,43
10,Johnson Charles,38
10,Johnson Charles,15
11,Aiden Markram,3
11,Aiden Markram,15
11,Aiden Markram,51
11,Aiden Markram,54
11,Aiden Markram,63
11,Aiden Markram,11
11,Aiden Markram,23
11,Aiden Markram,20
11,Aiden Markram,70
11,Aiden Markram,39
11,Aiden Markram,8
11,Aiden Markram,48
11,Aiden Markram,40
11,Aiden Markram,19
11,Aiden Markram,0
11,Aiden Markram,56
11,Aiden Markram,27
11,Aiden Markram,25
11,Aiden Markram,33
11,Aiden Markram,10
11,Aiden Markram,52
11,Aiden Markram,20
11,Aiden Markram,17
11,Aiden Markram,14
11,Aiden Markram,7
11,Aiden Markram,49
11,Aiden Markram,41
11,Aiden Markram,30
11,Aiden Markram,25
11,Aiden Markram,12
11,Aiden Markram,0
11,Aiden Markram,4
11,Aiden Markram,15
11,Aiden Markram,46
11,Aiden Markram,1
11,Aiden Markram,18
11,Aiden Markram,4
12,Nicholas Pooran,5
12,Nicholas Pooran,4
12,Nicholas Pooran,16
12,Nicholas Pooran,4
12,Nicholas Pooran,14
12,Nicholas Pooran,29
12,Nicholas Pooran,58
12,Nicholas Pooran,1
12,Nicholas Pooran,11
12,Nicholas Pooran,20
12,Nicholas Pooran,19
12,Nicholas Pooran,17
12,Nicholas Pooran,0
12,Nicholas Pooran,26
12,Nicholas Pooran,14
12,Nicholas Pooran,1
12,Nicholas Pooran,7
12,Nicholas Pooran,0
12,Nicholas Pooran,8
12,Nicholas Pooran,23
12,Nicholas Pooran,9
12,Nicholas Pooran,26
12,Nicholas Pooran,16
12,Nicholas Pooran,20
12,Nicholas Pooran,17
12,Nicholas Pooran,16
12,Nicholas Pooran,31
12,Nicholas Pooran,13
12,Nicholas Pooran,1
12,Nicholas Pooran,12
12,Nicholas Pooran,40
12,Nicholas Pooran,46
12,Nicholas Pooran,4
12,Nicholas Pooran,18
12,Nicholas Pooran,26
12,Nicholas Pooran,64
12,Nicholas Pooran,24
12,Nicholas Pooran,70
12,Nicholas Pooran,22
12,Nicholas Pooran,21
12,Nicholas Pooran,61
12,Nicholas Pooran,62
12,Nicholas Pooran,61
12,Nicholas Pooran,34
12,Nicholas Pooran,18
12,Nicholas Pooran,14
12,Nicholas Pooran,22
12,Nicholas Pooran,24
12,Nicholas Pooran,3
12,Nicholas Pooran,15
12,Nicholas Pooran,1
12,Nicholas Pooran,2
12,Nicholas Pooran,2
12,Nicholas Pooran,5
12,Nicholas Pooran,7
12,Nicholas Pooran,13
12,Nicholas Pooran,16
12,Nicholas Pooran,2
12,Nicholas Pooran,41
12,Nicholas Pooran,41
12,Nicholas Pooran,67
12,Nicholas Pooran,20
12,Nicholas Pooran,1
12,Nicholas Pooran,47
12,Nicholas Pooran,13
12,Nicholas Pooran,5
12,Nicholas Pooran,82
12,Nicholas Pooran,39
12,Nicholas Pooran,10
12,Nicholas Pooran,18
12,Nicholas Pooran,18
12,Nicholas Pooran,1
12,Nicholas Pooran,27
12,Nicholas Pooran,22
12,Nicholas Pooran,17
12,Nicholas Pooran,98
12,Nicholas Pooran,36
12,Nicholas Pooran,1
13,Rahmanullah Gurbaz,43
13,Rahmanullah Gurbaz,0
13,Rahmanullah Gurbaz,61
13,Rahmanullah Gurbaz,29
13,Rahmanullah Gurbaz,0
13,Rahmanullah Gurbaz,15
13,Rahmanullah Gurbaz,79
13,Rahmanullah Gurbaz,28
13,Rahmanullah Gurbaz,35
13,Rahmanullah Gurbaz,42
